Date,Currency Pair,Long Positions,Short Positions
2024-08-25,EUR/JPY,69546,86308
2024-08-25,GBP/JPY,130854,102296
2024-08-25,EUR/GBP,140804,108130
2024-09-01,EUR/USD,77847,132085
2024-09-01,GBP/USD,73364,67556
2024-09-01,USD/JPY,149011,87985
2024-09-01,AUD/USD,103275,129538
2024-09-01,USD/CAD,114464,84732
2024-09-01,USD/CHF,70204,134547
2024-09-01,NZD/USD,64200,112786
2024-09-01,EUR/JPY,123618,84584
2024-09-01,GBP/JPY,127861,80566
2024-09-01,EUR/GBP,147631,54625
2024-09-08,EUR/USD,85477,49258
2024-09-08,GBP/USD,117341,61452
2024-09-08,USD/JPY,112781,88826
2024-09-08,AUD/USD,104724,137447
2024-09-08,USD/CAD,76724,125092
2024-09-08,USD/CHF,121996,108226
2024-09-08,NZD/USD,82114,79082
2024-09-08,EUR/JPY,68770,102024
2024-09-08,GBP/JPY,82506,117827
2024-09-08,EUR/GBP,134631,78825
2024-09-15,EUR/USD,144021,111698
2024-09-15,GBP/USD,76696,68306
2024-09-15,USD/JPY,112347,90814
2024-09-15,AUD/USD,130241,75762
2024-09-15,USD/CAD,117817,89431
2024-09-15,USD/CHF,136069,106998
2024-09-15,NZD/USD,143186,103346
2024-09-15,EUR/JPY,99977,107591
2024-09-15,GBP/JPY,51369,51892
2024-09-15,EUR/GBP,121570,79040
2024-09-22,EUR/USD,111360,110402
2024-09-22,GBP/USD,136029,54852
2024-09-22,USD/JPY,106768,76410
2024-09-22,AUD/USD,136820,96104
2024-09-22,USD/CAD,120495,86666
2024-09-22,USD/CHF,58126,137498
2024-09-22,NZD/USD,93510,66154
2024-09-22,EUR/JPY,95200,81142
2024-09-22,GBP/JPY,63217,109754
2024-09-22,EUR/GBP,136380,51210
2024-09-29,EUR/USD,86996,114527
2024-09-29,GBP/USD,147419,129707
2024-09-29,USD/JPY,135239,97495
2024-09-29,AUD/USD,89056,134267
2024-09-29,USD/CAD,117871,97499
2024-09-29,USD/CHF,83911,97247
2024-09-29,NZD/USD,137875,57127
2024-09-29,EUR/JPY,140759,100353
2024-09-29,GBP/JPY,113344,43784
2024-09-29,EUR/GBP,54159,131005
2024-10-06,EUR/USD,97874,125722
2024-10-06,GBP/USD,146350,71723
2024-10-06,USD/JPY,101944,96676
2024-10-06,AUD/USD,67713,109195
2024-10-06,USD/CAD,71866,123466
2024-10-06,USD/CHF,113294,63865
2024-10-06,NZD/USD,117618,119243
2024-10-06,EUR/JPY,79638,47545
2024-10-06,GBP/JPY,50702,48223
2024-10-06,EUR/GBP,50004,59442
2024-10-13,EUR/USD,135094,75976
2024-10-13,GBP/USD,83461,112249
2024-10-13,USD/JPY,74002,43480
2024-10-13,AUD/USD,65822,74537
2024-10-13,USD/CAD,84178,99090
2024-10-13,USD/CHF,73001,69883
2024-10-13,NZD/USD,112381,110910
2024-10-13,EUR/JPY,65002,85268
2024-10-13,GBP/JPY,145121,90406
2024-10-13,EUR/GBP,81044,50875
2024-10-20,EUR/USD,118025,88768
2024-10-20,GBP/USD,106553,90663
2024-10-20,USD/JPY,111031,45094
2024-10-20,AUD/USD,120956,76566
2024-10-20,USD/CAD,56993,47588
2024-10-20,USD/CHF,140716,108980
2024-10-20,NZD/USD,112597,40097
2024-10-20,EUR/JPY,91808,75620
2024-10-20,GBP/JPY,67006,64704
2024-10-20,EUR/GBP,59721,41378
2024-10-27,EUR/USD,144987,121962
2024-10-27,GBP/USD,75146,88403
2024-10-27,USD/JPY,122145,66682
2024-10-27,AUD/USD,84657,90497
2024-10-27,USD/CAD,133393,42025
2024-10-27,USD/CHF,123191,78419
2024-10-27,NZD/USD,147087,122414
2024-10-27,EUR/JPY,131843,135179
2024-10-27,GBP/JPY,104683,66228
2024-10-27,EUR/GBP,101966,54274
2024-11-03,EUR/USD,71370,123354
2024-11-03,GBP/USD,146193,77319
2024-11-03,USD/JPY,106394,58196
2024-11-03,AUD/USD,51519,66201
2024-11-03,USD/CAD,76398,112625
2024-11-03,USD/CHF,115252,113815
2024-11-03,NZD/USD,82145,58529
2024-11-03,EUR/JPY,112203,62234
2024-11-03,GBP/JPY,115338,136883
2024-11-03,EUR/GBP,84895,43586
2024-11-10,EUR/USD,56614,74353
2024-11-10,GBP/USD,72631,72986
2024-11-10,USD/JPY,93375,105784
2024-11-10,AUD/USD,109462,110339
2024-11-10,USD/CAD,54075,113782
2024-11-10,USD/CHF,118940,77165
2024-11-10,NZD/USD,126753,68772
2024-11-10,EUR/JPY,52668,76760
2024-11-10,GBP/JPY,74961,68305
2024-11-10,EUR/GBP,70747,101879
2024-11-17,EUR/USD,75308,84186
2024-11-17,GBP/USD,92948,105265
2024-11-17,USD/JPY,124467,52402
2024-11-17,AUD/USD,116810,47982
2024-11-17,USD/CAD,126457,98148
2024-11-17,USD/CHF,120143,65543
2024-11-17,NZD/USD,101764,82356
2024-11-17,EUR/JPY,128048,104725
2024-11-17,GBP/JPY,51044,120876
2024-11-17,EUR/GBP,94766,63939
2024-11-24,EUR/USD,58748,54824
2024-11-24,GBP/USD,143673,64557
2024-11-24,USD/JPY,125363,117866
2024-11-24,AUD/USD,58365,47642
2024-11-24,USD/CAD,101740,80726
2024-11-24,USD/CHF,96965,100771
2024-11-24,NZD/USD,109863,63149
2024-11-24,EUR/JPY,113724,50062
2024-11-24,GBP/JPY,85535,104855
2024-11-24,EUR/GBP,77291,70954
2024-12-01,EUR/USD,135184,90812
2024-12-01,GBP/USD,144086,41311
2024-12-01,USD/JPY,134147,116996
2024-12-01,AUD/USD,93269,51486
2024-12-01,USD/CAD,144693,62089
2024-12-01,USD/CHF,142936,131304
2024-12-01,NZD/USD,94636,110592
2024-12-01,EUR/JPY,75063,45180
2024-12-01,GBP/JPY,146883,51928
2024-12-01,EUR/GBP,133241,114603
2024-12-08,EUR/USD,57928,78713
2024-12-08,GBP/USD,130023,47366
2024-12-08,USD/JPY,103978,91739
2024-12-08,AUD/USD,75033,66968
2024-12-08,USD/CAD,68582,107713
2024-12-08,USD/CHF,111167,88272
2024-12-08,NZD/USD,103958,52724
2024-12-08,EUR/JPY,92714,97591
2024-12-08,GBP/JPY,149931,64999
2024-12-08,EUR/GBP,116759,128028
2024-12-15,EUR/USD,67104,122885
2024-12-15,GBP/USD,83204,124764
2024-12-15,USD/JPY,102377,72440
2024-12-15,AUD/USD,121609,55878
2024-12-15,USD/CAD,71088,109789
2024-12-15,USD/CHF,141346,98016
2024-12-15,NZD/USD,135211,62998
2024-12-15,EUR/JPY,93808,62190
2024-12-15,GBP/JPY,148127,106238
2024-12-15,EUR/GBP,140369,101351
2024-12-22,EUR/USD,64899,47936
2024-12-22,GBP/USD,148074,89335
2024-12-22,USD/JPY,143351,54546
2024-12-22,AUD/USD,69617,42451
2024-12-22,USD/CAD,87551,49826
2024-12-22,USD/CHF,66721,54104
2024-12-22,NZD/USD,135667,61979
2024-12-22,EUR/JPY,116009,52542
2024-12-22,GBP/JPY,115106,74279
2024-12-22,EUR/GBP,83297,108856
2024-12-29,EUR/USD,52590,44473
2024-12-29,GBP/USD,62461,114073
2024-12-29,USD/JPY,87192,74240
2024-12-29,AUD/USD,64492,72235
2024-12-29,USD/CAD,68285,67613
2024-12-29,USD/CHF,116779,84340
2024-12-29,NZD/USD,68243,40682
2024-12-29,EUR/JPY,76514,133864
2024-12-29,GBP/JPY,122239,136479
2024-12-29,EUR/GBP,145257,94142
2025-01-05,EUR/USD,121228,122070
2025-01-05,GBP/USD,87134,76436
2025-01-05,USD/JPY,107304,95624
2025-01-05,AUD/USD,85534,86536
2025-01-05,USD/CAD,115047,54676
2025-01-05,USD/CHF,106587,60914
2025-01-05,NZD/USD,50493,95804
2025-01-05,EUR/JPY,113981,73644
2025-01-05,GBP/JPY,73677,43767
2025-01-05,EUR/GBP,84912,128819
2025-01-12,EUR/USD,143721,64437
2025-01-12,GBP/USD,141037,61901
2025-01-12,USD/JPY,148171,49172
2025-01-12,AUD/USD,72940,83508
2025-01-12,USD/CAD,144199,49992
2025-01-12,USD/CHF,77115,112975
2025-01-12,NZD/USD,105140,68700
2025-01-12,EUR/JPY,117850,137218
2025-01-12,GBP/JPY,96053,93755
2025-01-12,EUR/GBP,51141,67293
2025-01-19,EUR/USD,94710,74901
2025-01-19,GBP/USD,138503,137680
2025-01-19,USD/JPY,146616,50799
2025-01-19,AUD/USD,122669,129023
2025-01-19,USD/CAD,104466,114448
2025-01-19,USD/CHF,88573,89478
2025-01-19,NZD/USD,141063,70587
2025-01-19,EUR/JPY,121374,76781
2025-01-19,GBP/JPY,57900,83647
2025-01-19,EUR/GBP,140128,130421
2025-01-26,EUR/USD,142493,114327
2025-01-26,GBP/USD,123579,94210
2025-01-26,USD/JPY,121501,100808
2025-01-26,AUD/USD,82831,123762
2025-01-26,USD/CAD,145460,73395
2025-01-26,USD/CHF,124000,55706
2025-01-26,NZD/USD,68329,42835
2025-01-26,EUR/JPY,92887,117501
2025-01-26,GBP/JPY,69110,127699
2025-01-26,EUR/GBP,146177,96495
2025-02-02,EUR/USD,88617,66741
2025-02-02,GBP/USD,91016,81777
2025-02-02,USD/JPY,74097,137629
2025-02-02,AUD/USD,120146,70182
2025-02-02,USD/CAD,127529,55328
2025-02-02,USD/CHF,133880,45142
2025-02-02,NZD/USD,148836,109663
2025-02-02,EUR/JPY,69645,111911
2025-02-02,GBP/JPY,120580,134055
2025-02-02,EUR/GBP,68235,116192
2025-02-09,EUR/USD,128471,108788
2025-02-09,GBP/USD,102029,123581
2025-02-09,USD/JPY,83162,95508
2025-02-09,AUD/USD,56574,126397
2025-02-09,USD/CAD,122987,122510
2025-02-09,USD/CHF,86867,73077
2025-02-09,NZD/USD,106522,99138
2025-02-09,EUR/JPY,128692,119920
2025-02-09,GBP/JPY,124165,58809
2025-02-09,EUR/GBP,53486,104553
2025-02-16,EUR/USD,99611,125423
2025-02-16,GBP/USD,104341,115391
2025-02-16,USD/JPY,110420,48397
2025-02-16,AUD/USD,107774,46685
2025-02-16,USD/CAD,83842,116693
2025-02-16,USD/CHF,101398,135880
2025-02-16,NZD/USD,134819,114910
2025-02-16,EUR/JPY,78314,60474
2025-02-16,GBP/JPY,149924,64220
2025-02-16,EUR/GBP,108086,80582
2025-02-23,EUR/USD,72379,79067
2025-02-23,GBP/USD,105520,65865
2025-02-23,USD/JPY,124842,67179
2025-02-23,AUD/USD,86137,84182
2025-02-23,USD/CAD,74049,130769
2025-02-23,USD/CHF,140260,73454
2025-02-23,NZD/USD,143988,69081
2025-02-23,EUR/JPY,122568,109859
2025-02-23,GBP/JPY,70948,131475
2025-02-23,EUR/GBP,119044,64417
2025-03-02,EUR/USD,59117,60680
2025-03-02,GBP/USD,98608,138725
2025-03-02,USD/JPY,79316,43584
2025-03-02,AUD/USD,118735,63814
2025-03-02,USD/CAD,72868,91935
2025-03-02,USD/CHF,117156,73264
2025-03-02,NZD/USD,143552,72760
2025-03-02,EUR/JPY,139939,77033
2025-03-02,GBP/JPY,112406,124203
2025-03-02,EUR/GBP,130662,92406
2025-03-09,EUR/USD,117197,60026
2025-03-09,GBP/USD,99919,73716
2025-03-09,USD/JPY,115630,111298
2025-03-09,AUD/USD,75508,96802
2025-03-09,USD/CAD,56324,101428
2025-03-09,USD/CHF,51520,42278
2025-03-09,NZD/USD,136502,104001
2025-03-09,EUR/JPY,68396,51812
2025-03-09,GBP/JPY,102398,67543
2025-03-09,EUR/GBP,54361,56417
2025-03-16,EUR/USD,103843,84634
2025-03-16,GBP/USD,138209,64079
2025-03-16,USD/JPY,147731,122490
2025-03-16,AUD/USD,91273,101072
2025-03-16,USD/CAD,86561,112911
2025-03-16,USD/CHF,53040,46689
2025-03-16,NZD/USD,132992,134956
2025-03-16,EUR/JPY,106593,55513
2025-03-16,GBP/JPY,133255,94710
2025-03-16,EUR/GBP,121637,46542
2025-03-23,EUR/USD,125748,84408
2025-03-23,GBP/USD,148913,115161
2025-03-23,USD/JPY,57928,75883
2025-03-23,AUD/USD,143264,51387
2025-03-23,USD/CAD,68410,72033
2025-03-23,USD/CHF,89066,57226
2025-03-23,NZD/USD,126895,137532
2025-03-23,EUR/JPY,71446,131522
2025-03-23,GBP/JPY,98128,64404
2025-03-23,EUR/GBP,72073,90624
2025-03-30,EUR/USD,136921,63747
2025-03-30,GBP/USD,59493,137779
2025-03-30,USD/JPY,111888,74115
2025-03-30,AUD/USD,103798,129164
2025-03-30,USD/CAD,144351,51484
2025-03-30,USD/CHF,133412,79808
2025-03-30,NZD/USD,63736,123987
2025-03-30,EUR/JPY,82612,93459
2025-03-30,GBP/JPY,56596,50829
2025-03-30,EUR/GBP,76884,84199
2025-04-06,EUR/USD,137877,50061
2025-04-06,GBP/USD,70398,88708
2025-04-06,USD/JPY,76808,65592
2025-04-06,AUD/USD,65839,139205
2025-04-06,USD/CAD,68030,48627
2025-04-06,USD/CHF,137886,63330
2025-04-06,NZD/USD,59053,65845
2025-04-06,EUR/JPY,146810,75419
2025-04-06,GBP/JPY,99576,65973
2025-04-06,EUR/GBP,113799,47628
2025-04-13,EUR/USD,57848,69836
2025-04-13,GBP/USD,94869,55246
2025-04-13,USD/JPY,77782,46237
2025-04-13,AUD/USD,145766,50596
2025-04-13,USD/CAD,69726,111515
2025-04-13,USD/CHF,109109,134011
2025-04-13,NZD/USD,127341,103909
2025-04-13,EUR/JPY,144523,83524
2025-04-13,GBP/JPY,71052,53203
2025-04-13,EUR/GBP,110451,83881
2025-04-20,EUR/USD,59256,70974
2025-04-20,GBP/USD,51824,86587
2025-04-20,USD/JPY,86004,94355
2025-04-20,AUD/USD,71871,75961
2025-04-20,USD/CAD,79359,69823
2025-04-20,USD/CHF,115416,86750
2025-04-20,NZD/USD,119882,138421
2025-04-20,EUR/JPY,149918,59229
2025-04-20,GBP/JPY,99836,106156
2025-04-20,EUR/GBP,80233,60134
2025-04-27,EUR/USD,64794,117608
2025-04-27,GBP/USD,70646,109377
2025-04-27,USD/JPY,85181,73683
2025-04-27,AUD/USD,81017,85340
2025-04-27,USD/CAD,73176,49489
2025-04-27,USD/CHF,51628,71440
2025-04-27,NZD/USD,131858,60785
2025-04-27,EUR/JPY,105852,62737
2025-04-27,GBP/JPY,106508,52865
2025-04-27,EUR/GBP,84290,116023
